time_published,Adj Close,Al Jareeza,Associated Press,Barrons,Benzinga,Business Insider,Business Standard,CNBC,CNN,Canada Newswire,Cointelegraph,Decrypt.co,Financial News London,Financial Times,Forbes,Fox Business News,GlobeNewswire,Investing News Network,Investor Ideas,Investors Business Daily,Kiplinger,MarketWatch,Money Control,Money Morning,Motley Fool,New York Times,PR Newswire,PennyStocks.com,Reuters,South China Morning Post,StockMarket.com,Stocknews.com,The Atlantic,The Economist,The Financial Express,The Street,The Week News,UPI Business,Wall Street Journal,Zacks Commentary
2023-10-02,358.7991943359375,-1.0,-0.148212,-1.0,0.25824816666666667,0.11577,-1.0,0.162258,0.021536,-1.0,-1.0,0.312558,-1.0,-1.0,0.12783433333333333,-1.0,0.27651566666666666,-1.0,-1.0,-1.0,-1.0,0.200565,-1.0,-1.0,0.0744736,-1.0,0.264619,-1.0,-1.0,0.213786,-1.0,-1.0,-1.0,-1.0,0.157542,-1.0,-1.0,-1.0,-1.0,0.18248115384615385
2023-10-03,352.5023193359375,-1.0,0.029306000000000002,-1.0,0.29929611111111115,0.1850375,-1.0,0.022031,0.076594,-1.0,-1.0,0.11412066666666666,-1.0,-1.0,-0.065526,0.047733,0.22825800000000002,-1.0,-1.0,0.007364,-1.0,0.113451,-1.0,-1.0,0.1693445,-1.0,0.2550308,-1.0,-1.0,-0.00489,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09237471428571428
2023-10-04,357.2994689941406,-1.0,0.07009649999999999,-1.0,0.207544875,0.2959855,-1.0,0.132757,-0.03149400000000001,0.2487465,-1.0,0.321343,-1.0,-1.0,0.209117,0.282741,0.177458,-1.0,-1.0,-1.0,-1.0,0.123368,-1.0,-1.0,0.091206,-1.0,0.29368866666666665,-1.0,-1.0,-1.0,-1.0,-1.0,0.073786,-1.0,-1.0,-1.0,0.081432,-1.0,-1.0,0.17264238461538461
2023-10-05,356.2466735839844,-1.0,-0.0741665,-1.0,0.1556671111111111,0.0922705,-1.0,0.14597466666666667,-0.056019000000000006,-1.0,-1.0,-1.0,-1.0,-1.0,0.0700795,0.069577,0.229101,-1.0,-1.0,0.088702,-1.0,-1.0,-1.0,-1.0,0.11376460000000002,-1.0,0.2516825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12128144444444446
2023-10-06,362.2157287597656,-1.0,0.144647,-1.0,0.1875158,-1.0,-1.0,0.1231705,0.017082249999999993,0.269053,-1.0,0.100099,-1.0,-1.0,0.120115,-0.021704499999999998,0.23792899999999997,-1.0,-1.0,-1.0,0.048771,0.198416,-1.0,-1.0,0.07122724999999999,-1.0,0.2934236666666667,-1.0,0.040796,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.168832,0.002443,-1.0,-1.0,0.22202175
2023-10-09,364.06304931640625,-1.0,-0.022665333333333332,-1.0,0.22767428571428572,-1.0,-1.0,0.19804500000000003,-0.1041638,-1.0,-1.0,0.16049049999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.099634,-1.0,-1.0,-1.0,-1.0,0.2213845,-1.0,0.1503393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16476194117647058
2023-10-10,366.0792236328125,-0.214723,-0.05737266666666666,-1.0,0.17992229411764707,-1.0,-1.0,0.1372485,-0.16849833333333333,-1.0,-1.0,0.2013435,0.196648,-1.0,0.046131,-1.0,0.1471674,0.163093,-1.0,0.253502,-1.0,0.10677,-1.0,-1.0,0.1086915,-1.0,0.509361,-1.0,0.08793533333333332,-1.0,-1.0,-1.0,-1.0,-1.0,0.219752,-1.0,-1.0,-1.0,-1.0,0.161492
2023-10-11,368.6913146972656,-1.0,-0.0892435,-1.0,0.16893799999999998,-0.0418215,-1.0,-1.0,-0.0359402,0.3480605,-1.0,-1.0,-1.0,-1.0,-0.004897333333333337,0.046364666666666665,0.155131,-1.0,-1.0,-1.0,-1.0,0.069299,-1.0,-1.0,0.074353,-1.0,0.26474600000000004,-1.0,-1.0,-1.0,-1.0,-1.0,-0.069829,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17695344444444444
2023-10-12,367.41009521484375,-1.0,-0.010786500000000001,-1.0,0.16311672727272727,0.135877,-1.0,-0.125932,0.152986,0.323498,-0.076638,0.008752499999999996,-1.0,-1.0,0.035807,-0.272981,0.137888,-1.0,-1.0,0.00977,-1.0,0.132237,-1.0,-1.0,0.230892,-1.0,0.24102800000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.125968,-1.0,-1.0,-1.0,-1.0,0.13521646153846154
2023-10-13,362.79180908203125,-0.317811,0.021875,-1.0,0.34210266666666667,0.387956,-1.0,0.050563,-0.110463,0.2656445,0.002363,-1.0,-1.0,-1.0,0.059194000000000004,-0.069785,-1.0,-1.0,-1.0,0.041945,-1.0,0.21200349999999998,-1.0,-1.0,0.2783075,-1.0,0.2548483846153846,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.053033,0.161329,-1.0,-1.0,-1.0,0.14698477777777777
2023-10-16,366.8936462402344,-1.0,-0.207803,-1.0,0.1867603846153846,0.144808,-1.0,0.009604999999999999,-0.03649785714285714,-1.0,-0.011926,-1.0,-1.0,-1.0,-1.0,-1.0,0.20783866666666664,-1.0,-1.0,0.148112,-1.0,-1.0,-1.0,-1.0,0.111537,-1.0,0.20676916666666667,-1.0,-1.0,-0.050379,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19708015384615385
2023-10-17,365.6919250488281,-0.099968,-1.0,-1.0,0.12016930769230769,-0.3568575,-1.0,-1.0,-0.01701166666666666,-1.0,-0.340415,0.124628,-1.0,-0.016733,0.1251555,0.070397,0.234321,0.263645,-1.0,-1.0,-1.0,0.08409,-1.0,-1.0,-1.0,-1.0,0.407756,-1.0,0.085964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15518875000000001
2023-10-18,360.894775390625,-1.0,0.048190500000000004,-1.0,0.23654099999999997,0.09390849999999999,-1.0,-0.026794666666666665,-0.007204,-1.0,0.13277566666666665,0.232248,-1.0,-1.0,0.10512,0.287569,-1.0,-1.0,-1.0,0.017121500000000005,-1.0,0.17930049999999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.035506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12610054545454544
2023-10-19,357.51800537109375,-1.0,-0.014247,-1.0,0.07474650000000001,-0.08221200000000001,-1.0,-1.0,-0.03072825,-1.0,-0.09155,-1.0,-1.0,-1.0,-1.0,-1.0,0.16695,0.115515,-1.0,0.161526,-1.0,0.156271,-1.0,-1.0,0.031726,-1.0,0.31136585714285714,-1.0,-1.0,-1.0,-1.0,-1.0,-0.110754,-1.0,0.24354666666666666,-1.0,-1.0,-1.0,-1.0,0.13492563157894738
